trial,genome,n_robots,n_goals,shared_map,car_avoidance,completed,steps,goals_reached,goal_success_rate,explored_cells_total,explored_cells_avg_per_robot,total_collisions,wall_collisions,car_car_collisions,avg_pose_error,recovery_robot_steps,runtime_s,per_robot_goals,per_robot_wall_collisions,per_robot_car_collisions,per_robot_pose_error
0,best_genome_staged.npy,1,9,True,True,False,5000,5,0.5555555555555556,2676,2676.0,47,47,0,54.094971096993405,1442,10.08242154121399,[5],[47],[0],[54.094971096993405]
0,best_genome_staged.npy,2,9,True,True,False,5000,5,0.5555555555555556,3279,3279.0,26,26,0,7.510394093276597,925,16.51889681816101,"[5, 0]","[18, 8]","[0, 0]","[5.656251852156561, 9.364536334396634]"
0,best_genome_staged.npy,4,9,True,True,True,3752,9,1.0,3748,3748.0,44,44,0,22.261240493768696,2008,15.20140290260315,"[3, 1, 2, 3]","[0, 5, 10, 29]","[0, 0, 0, 0]","[2.3708190123185457, 24.27697821710726, 4.026308923257232, 58.37085582239175]"
0,best_genome_staged.npy,5,12,True,True,False,5000,9,0.75,4610,4610.0,361,352,9,63.973499569868366,9295,36.4543981552124,"[3, 2, 1, 2, 1]","[0, 111, 15, 166, 60]","[0, 1, 3, 5, 0]","[2.3708190123185457, 282.083125479114, 12.449541968568608, 21.29167584498257, 1.6723355443581036]"
0,best_genome_staged.npy,4,9,False,True,True,3752,9,1.0,5096,1274.0,44,44,0,22.261240493768696,2008,15.41213083267212,"[3, 1, 2, 3]","[0, 5, 10, 29]","[0, 0, 0, 0]","[2.3708190123185457, 24.27697821710726, 4.026308923257232, 58.37085582239175]"
0,best_genome_staged.npy,4,9,True,False,False,5000,8,0.8888888888888888,3743,3743.0,47,47,0,18.53313002309104,1998,17.570626974105835,"[3, 0, 2, 3]","[0, 8, 10, 29]","[0, 0, 0, 0]","[2.3708190123185457, 9.364536334396634, 4.026308923257232, 58.37085582239175]"
0,best_genome_staged.npy,4,9,False,False,False,5000,8,0.8888888888888888,5090,1272.5,47,47,0,18.53313002309104,1998,17.46803307533264,"[3, 0, 2, 3]","[0, 8, 10, 29]","[0, 0, 0, 0]","[2.3708190123185457, 9.364536334396634, 4.026308923257232, 58.37085582239175]"
0,best_genome_latest_staged.npy,4,9,True,True,False,5000,8,0.8888888888888888,3070,3070.0,489,489,0,16.306347605850483,4142,13.646738052368164,"[3, 1, 2, 2]","[2, 485, 0, 2]","[0, 0, 0, 0]","[7.483451455375098, 27.827318982063588, 7.50342016713296, 22.411199818830283]"
